"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Robinson Chirinos",35,114,437,366,57,87,22,1,17,58,1,2,51,125,0.238,0.347,0.443,0.79,105,162,11,13,2,5,1,0.335875576036866,105.284984346818
2,"1B","Yuli Gurriel",35,144,612,564,85,168,40,2,31,104,5,3,37,65,0.298,0.343,0.541,0.884,126,305,12,5,0,6,2,0.363529508196721,123.969531747531
3,"2B","Jose Altuve",29,124,548,500,89,149,27,3,31,74,6,5,41,82,0.298,0.353,0.55,0.903,131,275,19,3,1,3,0,0.37080987202925,128.888553835854
4,"SS","Carlos Correa",24,75,321,280,42,78,16,1,21,59,1,0,35,75,0.279,0.358,0.568,0.926,137,159,8,2,0,4,0,0.377971962616822,133.727663887117
5,"3B","Alex Bregman",25,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328,9,9,0,8,2,0.41803488372093,160.796420115115
6,"LF","Michael Brantley*",32,148,637,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,289,21,7,0,4,3,0.366547318611987,126.008533703002
7,"CF","Jake Marisnick",28,120,318,292,46,68,16,3,10,34,10,3,17,95,0.233,0.289,0.411,0.7,80,120,6,6,3,0,0,0.294136507936508,77.0837292097691
8,"RF","Josh Reddick*",32,141,550,501,57,138,19,3,14,56,5,2,36,66,0.275,0.319,0.409,0.728,89,205,9,0,1,9,1,0.305339449541284,84.653064819326
9,"DH","Yordan Ã?lvarez*",22,87,369,313,58,98,26,0,27,78,0,0,52,94,0.313,0.412,0.655,1.067,173,205,9,2,0,2,4,0.437232876712329,173.767660804244
10,"OF","George Springer",29,122,556,479,96,140,20,3,39,96,6,2,67,113,0.292,0.383,0.591,0.974,150,283,12,6,0,4,1,0.398974774774775,147.918341619494
11,"1B","Tyler White",28,71,253,218,16,49,14,0,3,21,0,0,32,74,0.225,0.32,0.33,0.65,72,72,7,0,0,3,0,0.285130434782609,70.998721126087
12,"IF","Aledmys DÃ­az",28,69,247,210,36,57,12,1,9,40,2,0,26,28,0.271,0.356,0.467,0.823,114,98,10,5,0,6,1,0.345032520325203,111.471929429785
